[2026-01-20 12:49:39] [INFO] [SERVER] Starting server...
[2026-01-20 12:49:39] [INFO] [SERVER] Server started successfully
[2026-01-20 12:49:40] [INFO] [CONNECTION] Client from 127.0.0.1:51590
[2026-01-20 12:49:42] [INFO] [CONNECTION] Client from 127.0.0.1:51606
[2026-01-20 12:49:42] [INFO] [CONNECTION] Client from 127.0.0.1:51620
[2026-01-20 12:49:43] [INFO] [CONNECTION] Client from 127.0.0.1:51630
[2026-01-20 12:49:44] [INFO] [CONNECTION] Client from 127.0.0.1:51646
[2026-01-20 12:49:45] [INFO] [CONNECTION] Client from 127.0.0.1:51656
[2026-01-20 12:49:46] [INFO] [CONNECTION] Client from 127.0.0.1:51658
[2026-01-20 12:49:46] [INFO] [CONNECTION] Client from 127.0.0.1:39970
[2026-01-20 12:49:48] [INFO] [CONNECTION] Client from 127.0.0.1:39980
[2026-01-20 12:50:01] [INFO] [SERVER] Starting server...
[2026-01-20 12:50:01] [INFO] [SERVER] Server started successfully
[2026-01-20 12:50:02] [INFO] [CONNECTION] Client from 127.0.0.1:56814
[2026-01-20 12:50:03] [INFO] [CONNECTION] Client from 127.0.0.1:56820
[2026-01-20 12:50:04] [INFO] [CONNECTION] Client from 127.0.0.1:56832
[2026-01-20 12:50:04] [INFO] [CONNECTION] Client from 127.0.0.1:56848
[2026-01-20 12:50:06] [INFO] [CONNECTION] Client from 127.0.0.1:40534
[2026-01-20 12:50:08] [INFO] [CONNECTION] Client from 127.0.0.1:40536
[2026-01-20 12:50:10] [INFO] [CONNECTION] Client from 127.0.0.1:40548
[2026-01-20 12:50:12] [INFO] [CONNECTION] Client from 127.0.0.1:40562
[2026-01-20 12:58:26] [UNKNOWN] [UNKNOWN] Machine INCONNUE connectée: 192.168.1.250:5001
[2026-01-20 13:01:39] [INFO] [SERVER] Starting server...
[2026-01-20 13:01:39] [INFO] [SERVER] Server started successfully
[2026-01-20 13:02:14] [INFO] [CONNECTION] Client from 127.0.0.1:50372
[2026-01-20 13:02:17] [INFO] [CONNECTION] Client from 127.0.0.1:36884
[2026-01-20 13:02:17] [UNKNOWN] [UNKNOWN] Machine INCONNUE connectée: 192.168.43.136:51158
[2026-01-20 13:02:17] [UNKNOWN] [UNKNOWN] Connexion acceptee temporairement - 59s restants
[2026-01-20 13:02:17] [INFO] [CONNECTION] Client from 192.168.43.136:51158
[2026-01-20 13:02:19] [INFO] [CONNECTION] Client from 127.0.0.1:36888
[2026-01-20 13:02:21] [INFO] [CONNECTION] Client from 127.0.0.1:36896
[2026-01-20 13:02:23] [INFO] [CONNECTION] Client from 127.0.0.1:36910
[2026-01-20 13:02:25] [INFO] [CONNECTION] Client from 127.0.0.1:36912
[2026-01-20 13:02:27] [INFO] [CONNECTION] Client from 127.0.0.1:58244
[2026-01-20 13:02:29] [INFO] [CONNECTION] Client from 127.0.0.1:58256
[2026-01-20 13:02:31] [INFO] [CONNECTION] Client from 127.0.0.1:58264
[2026-01-20 13:02:33] [INFO] [CONNECTION] Client from 127.0.0.1:58266
[2026-01-20 13:02:35] [INFO] [CONNECTION] Client from 127.0.0.1:58282
[2026-01-20 13:02:37] [INFO] [CONNECTION] Client from 127.0.0.1:55224
[2026-01-20 13:02:39] [INFO] [CONNECTION] Client from 127.0.0.1:55230
[2026-01-20 13:02:41] [INFO] [CONNECTION] Client from 127.0.0.1:55246
[2026-01-20 13:02:42] [INFO] [CONNECTION] Client from 127.0.0.1:55260
[2026-01-20 13:02:52] [INFO] [CONNECTION] Client from 127.0.0.1:52664
[2026-01-20 13:02:54] [INFO] [CONNECTION] Client from 127.0.0.1:52670
[2026-01-20 13:04:05] [INFO] [SERVER] Server stopped
[2026-01-20 13:06:38] [INFO] [SERVER] Starting server...
[2026-01-20 13:06:38] [INFO] [SERVER] Server started successfully
[2026-01-20 13:07:30] [INFO] [CONNECTION] Client from 127.0.0.1:54600
[2026-01-20 13:07:32] [INFO] [CONNECTION] Client from 127.0.0.1:54608
[2026-01-20 13:07:34] [INFO] [CONNECTION] Client from 127.0.0.1:54624
[2026-01-20 13:07:36] [INFO] [CONNECTION] Client from 127.0.0.1:45798
[2026-01-20 13:07:38] [INFO] [CONNECTION] Client from 127.0.0.1:45804
[2026-01-20 13:07:40] [INFO] [CONNECTION] Client from 127.0.0.1:45810
[2026-01-20 13:07:42] [INFO] [CONNECTION] Client from 127.0.0.1:45820
