✓ Log: [INFO] [SERVER] Starting server...
✓ Serveur démarré sur 0.0.0.0:5050
✓ Logs: /home/andry/Documents/Fianarana/S3/Reseaux/ReseauGit/nextInNet2.0/FinalProjet/backend/logs/Connexion.log
✓ Log: [INFO] [SERVER] Server started successfully
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60650
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60658
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60668
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:42150
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:42154
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:42166
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:42172
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:42186
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38736
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38750
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38764
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38766
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51606
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51614
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51618
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51620
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51634
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39420
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39426
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39440
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39456
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39470
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60124
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:41346
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:41348
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:41362
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:41376
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38622
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38630
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38642
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38644
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:38648
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:40934
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:40936
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:40946
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:40952
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:40956
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:47406
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:47422
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:47430
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:47438
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:47446
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:56004
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:56012
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:56024
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:56034
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:56038
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43596
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43602
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43604
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43616
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:43622
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:35560
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:35562
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:35564
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:35572
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:35586
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49690
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49696
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49698
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49706
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49716
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37720
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37734
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37744
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37760
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37770
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49240
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49248
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49252
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:49268
